applicant_id,name,mobile,state,district,occupation,years_in_occupation,applicant_type,monthly_income_estimate,income_seasonality,upi_transactions_per_month,upi_avg_ticket_size,upi_merchant_diversity,upi_consistency_score,upi_inflow_outflow_ratio,utility_electric_on_time_pct,utility_water_streak_months,utility_mobile_recharge_amt,bank_avg_monthly_balance,bank_income_credit_regularity,bank_zero_balance_months_past_12,mgnrega_days_worked,mgnrega_wage_regularity,mobile_sim_age_months,mobile_sim_changes_2yr,mobile_data_usage_trend,trade_regular_suppliers,trade_regular_customers,trade_monthly_purchase_value,trade_tenure_years,asset_ownership_status,asset_years_at_address,asset_vehicle,social_shg_member,social_shg_tenure_years,social_mfi_repaid_count,repayment_probability
e86c6de4,Widisha Merchant,08551637963,Uttar Pradesh,Unnao,Transport Worker,3,Partnership,44696.88,Irregular,46,2073.56,13,0.93,0.93,97.88,9,699,9849.71,1.0,0,30,0.62,36,0,0.52,5,57,18838.79,3,Rented,7,Two-Wheeler,1,4,0,1
21176d86,Barkha Narain,7890835737,West Bengal,Saharanpur,Street Vendor,7,Proprietorship,18998.3,Stable,42,1138.38,12,0.74,1.07,100.0,10,499,14736.54,0.65,2,0,0.81,18,0,0.06,8,39,11012.01,7,Family,14,None,1,4,0,1
01a53070,Pratyush Apte,01185762730,Rajasthan,Chandrapur,Transport Worker,3,Partnership,24510.12,Stable,40,2539.89,12,0.69,1.49,87.78,8,499,5791.16,0.6,1,0,0.34,21,0,-0.14,1,41,18909.69,3,Family,8,Two-Wheeler,0,0,1,1
7fdc7bc8,Niharika Dhaliwal,+913832752482,Maharashtra,Bettiah,Food Stall Owner,5,Proprietorship,49102.23,Irregular,42,1032.24,12,0.74,1.37,97.05,9,199,2678.43,0.79,2,50,0.37,33,0,0.52,2,88,33903.9,5,Rented,9,Two-Wheeler,0,0,2,1
9fd38402,Ansh Tak,04458582848,Tamil Nadu,Junagadh,Food Stall Owner,5,Individual,16801.76,Stable,81,1196.62,24,0.77,1.33,93.02,9,499,3028.53,0.72,1,100,0.68,45,0,0.43,8,31,12334.52,5,Own House,4,None,1,2,0,1
ee7ebfb7,Daksha Raja,+915989233877,Rajasthan,Ujjain,Farmer,4,Individual,24034.67,Irregular,25,2433.68,7,0.97,1.1,74.44,7,699,2028.95,0.99,0,50,0.72,20,1,-0.03,2,22,16693.54,4,Family,4,Two-Wheeler,1,2,1,1
00fd9107,Ekavir Ramaswamy,06596035670,Uttar Pradesh,Rewa,Farmer,8,Individual,28333.31,Seasonal,32,636.41,9,0.93,1.05,92.08,9,199,6365.02,0.84,0,0,0.8,39,1,0.43,18,111,16026.92,8,Rented,10,None,1,3,0,1
736270fd,Bishakha Chakraborty,08831413293,Rajasthan,Bhilwara,Artisan,4,Individual,45162.5,Seasonal,39,2865.29,11,0.59,1.26,82.22,8,199,10015.99,0.6,0,30,0.44,41,0,0.47,0,26,32515.48,4,Rented,7,None,0,0,0,1
f0827946,Raagini Sawhney,7661625703,Uttar Pradesh,Karaikudi,Street Vendor,3,Individual,44573.98,Seasonal,27,1690.81,8,0.66,1.29,100.0,10,199,5172.1,0.56,0,100,0.57,21,0,0.05,3,53,21502.59,3,Rented,4,Two-Wheeler,1,3,1,1
7036c00e,Triya Jain,00799883203,Tamil Nadu,Sonipat,Farmer,4,Proprietorship,40523.22,Stable,68,1436.2,20,0.92,1.06,85.47,8,499,5899.23,0.98,0,100,0.36,43,0,-0.15,6,45,25092.5,4,Own House,6,None,0,0,0,1
d7e59c92,Agastya Parikh,5191423619,Tamil Nadu,Darbhanga,Farmer,5,Individual,33030.85,Irregular,64,926.16,19,0.71,1.04,74.37,7,699,7045.3,0.75,0,100,0.43,54,0,0.3,3,25,21777.86,5,Own House,11,None,1,1,0,1
4711bb55,Ubika Narain,02026111912,Maharashtra,Ongole,Tailor,2,Individual,47209.53,Stable,44,1601.91,13,0.67,1.31,92.35,9,199,7359.19,0.65,1,30,0.57,42,0,0.49,3,31,23118.67,2,Rented,1,None,1,3,0,1
ee33f2ac,Mekhala Subramanian,2829463287,Rajasthan,Chennai,Artisan,5,Proprietorship,23742.03,Stable,62,1330.27,18,1.0,1.46,82.8,8,699,8172.2,1.0,0,100,0.56,52,0,0.7,14,58,16619.69,5,Own House,3,Two-Wheeler,0,0,2,1
6b306eb5,Falak Lall,+919571070266,West Bengal,Indore,Tailor,3,Individual,30751.82,Irregular,28,1105.73,8,0.56,0.81,90.41,9,699,1187.73,0.61,1,100,0.59,28,0,0.45,0,44,19909.77,3,Own House,8,Two-Wheeler,0,0,1,1
8504a93e,Samesh Nazareth,00635536887,Uttar Pradesh,Warangal,Street Vendor,3,Partnership,15289.29,Stable,55,1271.96,16,0.97,0.86,99.27,9,699,11966.71,1.0,0,30,0.61,24,0,0.79,5,17,9330.01,3,Family,5,Auto,0,0,0,1
7b48f47b,Arya Sangha,01286448111,Rajasthan,Chittoor,Street Vendor,5,Individual,15839.14,Stable,13,1282.56,3,0.83,1.48,100.0,10,299,7308.15,0.86,0,0,0.76,49,0,0.01,13,64,7061.13,5,Rented,3,Two-Wheeler,0,0,0,1
14f8bf78,Shivani Nigam,9124329663,Maharashtra,Saharanpur,Daily Wage Worker,4,Individual,28999.41,Seasonal,29,643.48,8,0.94,1.09,92.08,9,499,3124.4,0.89,2,0,0.72,56,0,0.46,0,42,22956.3,4,Own House,6,None,1,1,2,1
f749547e,Kritika Deep,6009904057,Uttar Pradesh,Jehanabad,Food Stall Owner,4,Proprietorship,33152.35,Irregular,49,2447.67,14,0.69,0.99,84.95,8,499,5715.47,0.69,3,100,0.75,34,0,0.4,8,21,17395.41,4,Own House,2,None,0,0,2,1
f6c9a656,Gabriel Pall,6356559999,Maharashtra,Jorhat,Construction Worker,3,Partnership,18746.02,Seasonal,46,1457.08,13,0.81,1.32,79.6,7,199,7128.71,0.81,2,0,0.46,26,0,0.71,5,47,9426.64,3,Rented,4,Goods Vehicle,1,4,2,1
35c91584,Balvan Sankar,05385218293,Rajasthan,Katni,Farmer,5,Individual,27257.64,Seasonal,57,2270.45,17,0.45,1.08,86.48,8,299,10871.18,0.36,0,50,0.76,16,0,0.62,11,76,13492.6,5,Rented,5,Two-Wheeler,1,1,0,1
43197fad,Bachittar Khosla,0628178929,Tamil Nadu,Yamunanagar,Construction Worker,6,Individual,34124.25,Seasonal,33,2630.12,9,0.62,1.45,97.01,9,699,2394.12,0.58,3,50,0.78,16,0,-0.04,9,47,23467.03,6,Rented,6,Two-Wheeler,0,0,2,1
46c8b953,Avi Pai,04921443280,Tamil Nadu,Mangalore,Small Trader,6,Individual,25742.59,Seasonal,60,642.74,18,0.99,1.15,77.9,7,299,2435.41,0.98,0,0,0.83,40,0,0.04,9,47,11346.08,6,Rented,7,None,1,4,1,1
0a0dcf5d,Ranbir Sahota,04463648333,West Bengal,Erode,Tailor,6,Proprietorship,31379.49,Stable,11,818.23,3,0.71,1.5,92.09,9,699,6294.73,0.78,0,100,0.86,36,0,0.39,11,106,16277.17,6,Family,10,None,1,2,1,1
d91cc1ab,Ekiya Pall,00544380844,Maharashtra,Mau,Tailor,6,Partnership,36086.44,Seasonal,34,1219.58,10,0.8,0.95,96.84,9,199,5533.47,0.87,0,30,0.37,51,0,0.8,3,83,20372.6,6,Rented,4,None,1,4,2,1
66d85061,Lohit Char,+917495673024,Rajasthan,Jehanabad,Tailor,3,Proprietorship,9645.31,Stable,21,907.73,6,0.41,1.27,78.3,7,299,1299.75,0.38,7,100,0.36,6,0,0.15,7,18,7493.81,3,Own House,6,None,0,0,0,0
4256d727,Kashish Kumar,01451222824,Maharashtra,Dhule,Construction Worker,2,Proprietorship,47850.24,Irregular,45,925.36,13,0.82,0.93,82.7,8,299,5330.54,0.81,0,0,0.33,27,0,-0.05,2,24,24183.65,2,Own House,5,Two-Wheeler,1,1,1,1
5d95c586,Pranav Cherian,7993293784,Uttar Pradesh,Muzaffarnagar,Street Vendor,5,Proprietorship,11935.2,Seasonal,10,431.05,3,0.34,0.98,79.8,7,499,929.52,0.43,4,30,0.76,19,3,0.13,8,29,5770.65,5,Family,4,Two-Wheeler,1,2,0,0
907b54d4,Chameli Palan,0991558474,Maharashtra,Patiala,Domestic Worker,5,Individual,15246.02,Irregular,47,643.2,14,0.73,1.35,86.54,8,299,6583.7,0.68,0,0,0.81,24,0,0.07,2,88,6381.99,5,Rented,10,Auto,1,5,1,1
0f08c91f,Aarnav Iyer,+911822244453,West Bengal,Nizamabad,Artisan,3,Proprietorship,48409.38,Seasonal,35,2796.3,10,0.78,1.32,86.27,8,299,6672.08,0.72,1,0,0.75,47,0,0.19,5,35,33738.82,3,Own House,4,Two-Wheeler,1,1,0,1
3b0cf800,Chaman Butala,06805874405,Uttar Pradesh,Kakinada,Street Vendor,5,Individual,40619.79,Stable,42,1996.65,12,0.76,0.93,87.66,8,699,1813.17,0.79,1,100,0.56,29,0,0.09,9,35,20994.66,5,Rented,4,Two-Wheeler,0,0,2,1
6703ae81,Henry Babu,1181821074,West Bengal,Nadiad,Domestic Worker,2,Partnership,17197.37,Stable,2,846.01,1,0.63,1.08,10.06,1,699,1672.93,0.58,7,100,0.87,4,2,0.52,4,39,12374.36,2,Rented,2,Two-Wheeler,1,2,0,0
da422d60,Ati Nagarajan,0137958797,Tamil Nadu,Ongole,Food Stall Owner,8,Proprietorship,45364.51,Stable,38,607.82,11,0.97,1.37,92.34,9,699,6574.17,0.99,1,50,0.4,37,0,0.11,7,119,29453.05,8,Rented,5,Goods Vehicle,1,2,0,1
03e99bad,Unnati Srinivas,4681297608,Maharashtra,Satna,Artisan,8,Partnership,22333.71,Stable,57,862.76,17,0.62,1.44,100.0,10,499,3399.58,0.68,1,30,0.32,42,0,0.68,7,55,13118.48,8,Own House,8,Two-Wheeler,0,0,0,1
488114a1,Bhavini Vyas,0801941234,Uttar Pradesh,Farrukhabad,Transport Worker,1,Proprietorship,15625.17,Stable,35,2779.59,10,0.94,1.03,100.0,10,299,4465.56,1.0,2,30,0.89,39,0,-0.05,1,15,8722.25,1,Family,1,None,0,0,0,1
8f860613,Advika Mistry,4181040988,Uttar Pradesh,Purnia,Transport Worker,4,Proprietorship,49159.41,Irregular,33,1925.97,9,0.75,1.31,91.05,9,699,9715.22,0.82,1,100,0.63,12,0,0.51,9,31,24810.81,4,Rented,4,None,1,1,1,1
f7cd4609,Aayush Purohit,6530516490,Maharashtra,Phusro,Construction Worker,6,Proprietorship,22663.95,Seasonal,18,1837.26,5,0.8,1.22,81.16,8,199,4722.53,0.74,0,30,0.86,35,0,-0.19,0,47,10582.27,6,Own House,11,None,1,3,0,1
04046abb,Vedhika Atwal,+911420364077,West Bengal,Gulbarga,Street Vendor,5,Individual,15044.38,Stable,52,2735.02,15,0.54,1.28,91.57,9,299,11741.91,0.47,0,50,0.51,48,0,0.57,12,36,8223.57,5,Own House,3,None,1,2,1,1
e9c8b3bb,Vedant Panchal,+910121982657,Rajasthan,Chandigarh,Street Vendor,3,Partnership,15671.73,Stable,6,1149.53,1,0.72,1.39,93.92,9,499,8494.34,0.65,0,50,0.82,12,1,0.04,5,51,10118.18,3,Own House,4,None,0,0,0,1
89cf28e8,Jagvi Toor,8435496700,Rajasthan,Vijayawada,Street Vendor,5,Partnership,23641.76,Irregular,38,2567.04,11,0.95,0.92,81.4,8,499,8104.25,0.88,1,30,0.39,44,0,0.62,3,83,16403.39,5,Own House,10,None,1,1,0,1
fdf90e41,Vinaya Master,00838620754,Tamil Nadu,Pune,Transport Worker,5,Partnership,49209.88,Seasonal,65,1204.2,19,0.4,0.96,79.67,7,199,2690.91,0.4,0,0,0.39,30,0,-0.1,1,32,31685.42,5,Rented,5,None,1,2,0,1
e59d5bc7,Tanveer Pal,9474324028,Rajasthan,Fatehpur,Transport Worker,4,Individual,45204.03,Stable,66,1241.97,19,0.82,1.21,69.39,6,299,6798.81,0.83,1,50,0.49,40,0,-0.03,2,36,24151.14,4,Own House,3,Two-Wheeler,1,3,1,1
d3b6430e,Riya Bath,+916944672903,Rajasthan,Nizamabad,Street Vendor,6,Proprietorship,28554.6,Stable,34,2120.58,10,1.0,1.08,91.73,9,699,14363.92,0.96,1,50,0.54,21,1,-0.04,13,48,12090.77,6,Rented,13,Two-Wheeler,0,0,0,1
a2b787b5,Anita Swaminathan,09068992296,Rajasthan,Berhampore,Daily Wage Worker,4,Individual,24318.17,Stable,30,2150.3,9,0.81,1.11,95.12,9,199,8325.62,0.73,1,100,0.81,46,0,0.6,0,42,10064.96,4,Family,8,Two-Wheeler,1,3,2,1
b74121a2,Tanveer Mittal,02435762838,West Bengal,Thoothukudi,Tailor,5,Partnership,25603.08,Irregular,28,2180.13,8,0.96,0.81,80.8,8,299,1247.99,0.96,2,50,0.81,40,0,0.69,7,79,13482.12,5,Own House,15,Auto,1,1,0,1
e783c0f9,Benjamin Rao,+918439664349,Rajasthan,Amroha,Transport Worker,2,Partnership,12990.13,Irregular,0,914.58,1,0.26,1.27,40.9,4,199,243.56,0.3,6,100,0.71,3,3,0.01,5,11,6315.71,2,Rented,1,Two-Wheeler,0,0,0,0
ef646846,Krishna Iyengar,1624193949,Maharashtra,Muzaffarnagar,Daily Wage Worker,2,Individual,23715.94,Irregular,22,556.51,6,0.25,1.2,65.65,6,699,1103.71,0.29,6,50,0.36,4,1,-0.08,4,20,11614.8,2,Rented,7,Goods Vehicle,1,1,0,0
8f2b48c5,Robert Dalal,+910049835640,Rajasthan,Madhyamgram,Domestic Worker,4,Individual,16506.83,Stable,36,2452.41,10,0.63,0.97,68.84,6,299,13510.32,0.63,1,100,0.84,1,0,0.02,10,53,12073.02,4,Rented,9,None,1,4,0,1
d948b7e4,Vasana Nayak,7492146172,Maharashtra,Kakinada,Food Stall Owner,3,Individual,12319.93,Stable,7,130.64,2,0.63,0.95,54.65,5,199,1014.43,0.57,7,100,0.35,15,0,0.36,1,21,6406.51,3,Own House,7,Goods Vehicle,0,0,0,0
8c32b310,Ucchal Bhat,+918181930744,West Bengal,Anand,Farmer,3,Individual,29104.31,Seasonal,41,933.81,12,0.64,1.22,100.0,10,299,14658.54,0.71,2,50,0.6,35,0,0.2,1,31,12435.37,3,Own House,5,None,1,3,1,1
4996d355,Aahana Yogi,03582606443,Maharashtra,Ambattur,Tailor,2,Proprietorship,38960.0,Stable,48,719.67,14,0.79,1.09,79.76,7,199,9485.43,0.84,0,0,0.42,41,0,0.18,5,31,16333.51,2,Rented,5,Two-Wheeler,1,3,1,1
8830e029,Laban Khare,06844088299,West Bengal,Anantapuram,Transport Worker,4,Partnership,49198.65,Irregular,40,757.8,12,0.86,0.85,90.39,9,499,8776.94,0.8,1,0,0.74,37,0,0.43,6,61,22512.16,4,Rented,2,None,0,0,0,1
928d3eb4,Urvi Chana,6806962568,Rajasthan,Varanasi,Small Trader,1,Proprietorship,24754.3,Seasonal,53,2897.18,15,0.84,0.91,79.1,7,499,4955.7,0.81,0,100,0.46,26,0,0.12,0,9,19472.31,1,Family,2,None,1,3,0,1
7b911536,Jagdish Sane,09871162934,Maharashtra,Bhatpara,Transport Worker,5,Individual,49870.39,Irregular,50,600.31,15,0.96,1.04,91.3,9,499,13158.67,1.0,1,0,0.65,40,0,0.5,12,35,30803.61,5,Family,10,Two-Wheeler,1,3,1,1
5be639e6,Darsh Rama,01827113009,Maharashtra,Thanjavur,Farmer,7,Individual,15162.12,Seasonal,36,1333.75,10,0.93,0.96,66.79,6,699,13877.98,1.0,0,0,0.6,31,1,0.22,19,73,9586.03,7,Rented,5,Two-Wheeler,1,3,0,1
bcd6b28d,Darsh Hayer,01911959384,Uttar Pradesh,Raipur,Food Stall Owner,1,Individual,23055.52,Stable,10,854.34,3,0.46,0.95,13.56,1,199,1574.07,0.5,5,50,0.88,21,2,0.24,2,16,11671.11,1,Own House,5,Auto,0,0,0,0
dea166ad,Nidra Palan,2339317124,Uttar Pradesh,Rajahmundry,Farmer,3,Proprietorship,24582.07,Stable,19,740.76,5,0.63,1.16,49.45,4,499,313.42,0.65,2,0,0.58,9,2,-0.08,6,34,17863.96,3,Family,3,Two-Wheeler,0,0,0,0
cbaa0191,Vedika Kulkarni,+916721850065,Rajasthan,Mango,Daily Wage Worker,5,Proprietorship,20904.56,Seasonal,57,2113.78,17,0.55,0.86,82.73,8,299,6230.89,0.49,0,100,0.52,50,0,0.3,0,51,9860.09,5,Family,7,Two-Wheeler,1,2,2,1
f39fe7ca,Caleb Cheema,+914764305421,Tamil Nadu,Kirari Suleman Nagar,Domestic Worker,1,Partnership,20929.78,Seasonal,75,2092.05,22,0.78,1.04,84.23,8,199,13958.16,0.69,3,0,0.45,1,0,0.16,0,15,13531.03,1,Family,1,None,1,2,1,1
c7e666ae,Vansha Varkey,09311388653,Rajasthan,Shimla,Transport Worker,2,Partnership,32923.1,Stable,59,1490.14,17,0.74,1.13,86.65,8,499,6397.74,0.71,0,0,0.39,38,0,0.75,4,18,20949.69,2,Rented,4,Two-Wheeler,1,3,1,1
c8810723,Kevin Vala,1203051345,Uttar Pradesh,Allahabad,Food Stall Owner,7,Individual,17995.98,Seasonal,52,958.64,15,0.62,1.32,100.0,10,499,9560.93,0.52,0,0,0.54,43,2,-0.17,7,137,13486.59,7,Own House,11,None,1,1,2,1
e69797a9,Laksh Chatterjee,05209468727,Uttar Pradesh,Bhatpara,Daily Wage Worker,2,Proprietorship,29567.6,Stable,53,1912.68,15,0.66,1.47,96.59,9,699,2610.15,0.71,2,100,0.84,57,0,0.07,4,39,14815.29,2,Rented,8,Two-Wheeler,1,3,0,1
19b00e3f,Arjun Sridhar,2780889391,Rajasthan,Munger,Tailor,7,Proprietorship,24079.82,Stable,64,1170.16,19,0.54,1.36,77.2,7,199,8728.66,0.53,2,0,0.46,29,1,0.34,13,62,10974.2,7,Rented,8,None,1,1,0,1
c47b03f0,Isha Sampath,+912781926340,Rajasthan,Haridwar,Daily Wage Worker,4,Proprietorship,40510.15,Irregular,42,572.92,12,0.67,1.33,100.0,10,499,2659.04,0.58,0,30,0.47,17,0,0.42,11,43,25502.62,4,Rented,1,None,0,0,0,1
4b629051,Jack Ramesh,9288909674,Maharashtra,Nagercoil,Artisan,4,Partnership,20895.55,Seasonal,64,1751.11,19,0.9,1.18,96.22,9,299,12860.34,0.95,1,30,0.61,38,0,0.62,5,73,8954.0,4,Own House,4,Two-Wheeler,1,3,0,1
15a5a481,Aishani Sridhar,+918868979583,Maharashtra,Firozabad,Construction Worker,6,Proprietorship,33230.88,Stable,51,2173.16,15,0.71,0.87,97.71,9,499,5156.54,0.63,1,100,0.88,34,0,0.7,12,38,16936.63,6,Rented,11,None,1,2,1,1
c60b9edb,Charita Golla,02831875641,Maharashtra,Hapur,Transport Worker,4,Proprietorship,21988.99,Irregular,75,2779.05,22,0.81,1.25,95.32,9,699,14182.89,0.76,1,100,0.59,49,0,-0.18,8,24,14329.03,4,Own House,4,None,0,0,0,1
bf54ead0,Zayyan Deshpande,+915059142433,Rajasthan,Durg,Farmer,3,Proprietorship,30108.11,Stable,50,1801.14,15,0.85,0.94,87.31,8,299,11550.54,0.84,2,30,0.71,43,0,0.3,0,28,23890.56,3,Family,3,Two-Wheeler,1,2,1,1
bef43e86,Ira Kari,08441633349,Uttar Pradesh,Durgapur,Artisan,3,Individual,46599.03,Stable,40,780.97,12,0.97,1.05,91.37,9,699,9996.79,0.87,0,0,0.61,45,0,0.52,3,29,27448.24,3,Rented,1,Two-Wheeler,1,2,0,1
4cd9fe38,Devansh Zacharia,5820059142,West Bengal,Bulandshahr,Domestic Worker,3,Proprietorship,41411.74,Stable,45,1729.83,13,0.79,1.05,70.76,7,199,8314.22,0.86,0,30,0.54,44,0,0.63,6,40,32401.33,3,Rented,4,Two-Wheeler,0,0,2,1
f574b4d8,Omaja Vaidya,2413146724,West Bengal,Bhilai,Food Stall Owner,4,Individual,25447.26,Irregular,27,1195.28,8,0.98,1.14,89.89,8,499,4863.28,0.95,0,0,0.87,38,0,0.72,7,47,18508.31,4,Family,8,Two-Wheeler,1,2,0,1
a2559587,Hamsini Das,07599620999,Uttar Pradesh,Mysore,Construction Worker,2,Proprietorship,22381.02,Stable,33,2642.98,9,0.76,1.5,100.0,10,699,2853.66,0.8,2,0,0.56,53,0,0.1,1,11,16894.26,2,Own House,3,Two-Wheeler,0,0,0,1
30798224,Lekha Muni,+916016407142,Uttar Pradesh,Gangtok,Street Vendor,5,Proprietorship,30495.76,Seasonal,40,2872.29,12,0.83,1.32,73.77,7,499,7752.99,0.75,0,0,0.41,29,0,-0.14,1,99,21756.7,5,Family,10,Two-Wheeler,0,0,1,1
ac3ebc7e,Jhalak Vyas,+910789754454,Maharashtra,Asansol,Street Vendor,5,Proprietorship,45857.24,Stable,68,1905.36,20,0.81,1.18,80.06,8,499,2765.93,0.84,1,0,0.34,38,0,0.35,12,99,26236.63,5,Rented,5,None,1,3,0,1
174f103c,Gaurav Chaudhary,06888325769,Tamil Nadu,Raebareli,Street Vendor,1,Proprietorship,20527.83,Seasonal,0,636.33,1,0.65,1.29,67.75,6,699,353.94,0.7,6,0,0.6,17,2,-0.14,2,6,13938.08,1,Rented,3,Goods Vehicle,0,0,0,0
60880829,Imaran Barman,02657324100,Maharashtra,Dehradun,Street Vendor,3,Proprietorship,19873.89,Irregular,65,526.79,19,0.86,1.42,90.39,9,499,6167.91,0.79,0,0,0.38,3,1,0.78,2,18,13221.28,3,Own House,1,Two-Wheeler,1,4,0,1
1c9379d8,Saanvi Merchant,03984162584,West Bengal,Pune,Construction Worker,1,Individual,18289.37,Stable,37,1664.0,11,0.81,1.34,72.12,7,699,9271.67,0.91,1,50,0.81,49,0,-0.01,1,15,8327.9,1,Rented,1,None,1,1,0,1
41d8717a,Megha Hari,+914324858307,Rajasthan,Siliguri,Food Stall Owner,1,Proprietorship,12062.76,Stable,13,955.16,3,0.1,1.31,77.28,7,199,2848.81,0.04,3,50,0.63,10,1,-0.17,1,7,8678.14,1,Family,3,None,0,0,0,0
2186a068,Hiral Mallick,+912792114813,Rajasthan,Kavali,Transport Worker,4,Proprietorship,21582.05,Irregular,73,1159.52,21,0.67,1.45,90.12,9,299,9480.63,0.7,0,0,0.69,41,2,0.55,10,71,14451.85,4,Rented,3,None,0,0,1,1
ad0ffc74,Warda Chand,+910638290996,Maharashtra,Ulhasnagar,Food Stall Owner,5,Partnership,35016.41,Stable,38,2768.66,11,0.81,1.03,79.52,7,499,13312.48,0.86,0,0,0.58,33,0,0.47,2,61,24350.96,5,Own House,7,None,1,3,0,1
27bb235c,Mohini Barman,07799339522,Uttar Pradesh,Howrah,Construction Worker,4,Proprietorship,29068.32,Stable,40,2614.36,12,0.99,0.86,77.15,7,299,10930.4,0.95,0,0,0.55,13,1,0.19,6,70,18410.97,4,Own House,6,Two-Wheeler,0,0,2,1
36855188,Ethan Dhawan,0826935190,Rajasthan,Sikar,Construction Worker,4,Individual,31905.41,Stable,22,1519.91,6,0.53,1.37,100.0,10,699,11625.94,0.53,0,30,0.7,35,0,0.53,5,60,20534.69,4,Rented,2,None,0,0,0,1
9bf470ae,Rushil Koshy,09643097299,Rajasthan,Shivpuri,Transport Worker,6,Individual,17984.39,Stable,36,2665.46,10,0.52,1.17,89.92,8,199,4711.59,0.51,0,30,0.85,31,2,0.24,2,96,11820.09,6,Rented,10,None,1,1,0,1
2e0f8ed0,Aahana Randhawa,4782876530,Uttar Pradesh,Thane,Construction Worker,3,Partnership,28237.24,Seasonal,50,2627.51,15,0.84,1.42,82.69,8,499,12366.46,0.83,1,100,0.72,36,0,-0.17,7,21,12732.87,3,Rented,4,Two-Wheeler,0,0,0,1
33068c57,Ekalinga Gopal,+917128051599,Tamil Nadu,Akola,Artisan,6,Partnership,39078.7,Seasonal,35,590.09,10,0.95,0.97,88.05,8,199,2490.74,0.86,1,0,0.65,35,0,0.73,2,117,30441.95,6,Rented,5,Two-Wheeler,1,2,2,1
1020caad,Michael Nadig,09573405205,Uttar Pradesh,Pudukkottai,Construction Worker,6,Partnership,43879.64,Stable,54,966.01,16,0.9,1.3,77.09,7,699,13710.13,0.89,1,0,0.75,29,1,0.3,4,110,24289.86,6,Rented,10,Two-Wheeler,0,0,0,1
34e7a93b,Ira Barad,+916503127002,Rajasthan,Ozhukarai,Domestic Worker,5,Partnership,43229.64,Seasonal,54,2146.96,16,0.93,0.82,94.59,9,199,4495.35,0.97,0,30,0.85,45,0,0.77,14,60,32198.17,5,Rented,5,Two-Wheeler,0,0,0,1
48be4422,Anirudh Raghavan,01175349141,Uttar Pradesh,Allahabad,Artisan,6,Partnership,48150.97,Seasonal,36,839.83,10,0.58,0.9,89.88,8,699,1841.02,0.68,0,30,0.41,39,1,0.41,6,82,25340.0,6,Own House,7,Two-Wheeler,0,0,0,1
754d4c4f,Zehaan Tandon,+912894178119,Rajasthan,Tadepalligudem,Daily Wage Worker,4,Individual,45541.91,Stable,44,2228.54,13,0.67,1.31,97.29,9,199,12611.39,0.74,0,30,0.89,41,0,0.59,7,40,28137.53,4,Rented,4,None,0,0,0,1
0cc6ebec,Hemal Mohanty,00895329843,Uttar Pradesh,Arrah,Construction Worker,5,Proprietorship,43260.41,Stable,59,2740.23,17,0.69,0.96,86.72,8,499,4191.09,0.65,2,30,0.49,4,0,0.32,10,52,34120.04,5,Own House,1,Two-Wheeler,1,2,0,1
7adccae1,Lucky Tandon,+915795552545,Tamil Nadu,Buxar,Farmer,7,Partnership,48342.7,Stable,56,2769.55,16,0.94,0.95,98.46,9,199,3042.91,0.95,1,0,0.5,35,0,0.32,1,71,19979.13,7,Own House,8,Two-Wheeler,1,2,0,1
ffc4133e,Ria Choudhry,07934028911,Maharashtra,Bhusawal,Street Vendor,5,Partnership,39735.15,Seasonal,52,1245.1,15,0.59,1.3,85.52,8,199,14055.51,0.51,3,0,0.59,26,1,0.18,3,86,25563.21,5,Own House,8,None,1,2,0,1
9168bbb0,Qarin Desai,6562307944,Uttar Pradesh,Karimnagar,Small Trader,2,Partnership,18731.83,Seasonal,28,1417.0,8,0.83,1.12,86.73,8,499,14527.84,0.77,2,30,0.47,46,0,0.12,5,11,11131.46,2,Rented,4,None,0,0,1,1
135a6363,Vihaan Dube,+915958068978,Uttar Pradesh,Hazaribagh,Transport Worker,6,Individual,46932.72,Stable,21,1026.66,6,1.0,1.14,100.0,10,299,11263.58,0.92,1,100,0.57,39,0,0.31,6,83,21842.93,6,Rented,9,None,0,0,0,1
acb8ce8f,Wyatt Memon,02883755716,Uttar Pradesh,Panihati,Tailor,5,Individual,35372.45,Irregular,52,2494.51,15,0.78,1.4,100.0,10,499,7651.52,0.77,1,50,0.63,29,0,0.22,13,40,25842.61,5,Rented,5,Two-Wheeler,0,0,0,1
735b5012,Raksha Koshy,6224778120,Tamil Nadu,Muzaffarnagar,Construction Worker,7,Partnership,21008.74,Stable,47,2519.58,14,0.88,1.25,100.0,10,699,10793.39,0.87,0,100,0.35,39,1,0.25,15,118,12559.84,7,Rented,8,None,1,3,0,1
91c2a429,Arya Tella,+915074606802,Tamil Nadu,Mirzapur,Domestic Worker,1,Individual,21713.85,Seasonal,16,566.06,4,0.56,0.96,55.18,5,499,2752.55,0.65,6,30,0.82,14,5,0.48,2,6,10775.91,1,Rented,2,Two-Wheeler,0,0,0,0
65f3d30e,Anika Sinha,+911643524201,Rajasthan,Dehradun,Tailor,5,Proprietorship,49014.59,Stable,17,1673.52,5,0.82,0.96,85.67,8,699,3697.47,0.73,1,30,0.86,27,0,0.14,14,61,23118.49,5,Own House,11,None,1,2,0,1
90a97aae,Vritti Chaudhary,2399263670,West Bengal,Mysore,Construction Worker,10,Partnership,40177.38,Seasonal,32,2645.44,9,0.89,1.05,91.68,9,299,10943.4,0.95,2,50,0.5,12,0,-0.03,21,173,17688.29,10,Own House,15,None,1,2,0,1
